"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
Xi urges China-France unity to defend multilateralism,"Xi Jinping, Emmanuel Macron",Xi urges China-France unity to defend multilateralism,"Xi Jinping, Emmanuel Macron",#VALUE!,#VALUE!,"Xi urges BRICS to strengthen strategic partnership, improve global governance , Xi underscores high-quality infrastructure construction for inclusive development, Xi, Trump agree to restart trade consultations, set tone for China-U.S. ties , Xi urges China-France unity to defend multilateralism","Xi Jinping, Jair Bolsonaro, Vladimir Putin, Narendra Modi, Cyril Ramaphosa, Xi Jinping, Xi Jinping, Donald Trump, Xi Jinping, Emmanuel Macron",28.6.2019 - 29.6.2019,#VALUE!,29.6.2019,#VALUE!,29.6.2019,"June 29, 2019",Japan,Osaka,,http://www.xinhuanet.com/english/2019-06/29/c_138184777.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29726
China ready to join DPRK in turning blueprint of bilateral ties into reality,"Xi Jinping,  Kim Jong Un,  Ri Sol Ju, Liyuan Peng",China ready to join DPRK in turning blueprint of bilateral ties into reality,"Xi Jinping,  Kim Jong Un,  Ri Sol Ju, Liyuan Peng",China ready to join DPRK in turning blueprint of bilateral ties into reality,"Xi Jinping,  Kim Jong Un,  Ri Sol Ju, Liyuan Peng","China ready to join DPRK for brighter future of ties, regional peace, prosperity, Xi, met with Kim Jong Un in Pyongyang, says China supports political settlement of Korean Peninsula issue, China ready to join DPRK in turning blueprint of bilateral ties into reality","Xi Jinping, Xi Jinping,  Kim Jong Un, Xi Jinping,  Kim Jong Un,  Ri Sol Ju, Liyuan Peng",20.6.2019 - 21.6.2019,21.6.2019,21.6.2019,TRUE,21.6.2019,"June 21, 2019",Democratic People's Republic of Korea,Pyongyang,,http://www.xinhuanet.com/english/2019-06/21/c_138162516.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29700
"Xi's Central Asia trip cements neighborhood friendship, regional cooperation ",Xi Jinping,"Xi's Central Asia trip cements neighborhood friendship, regional cooperation ",Xi Jinping,"Xi's Central Asia trip cements neighborhood friendship, regional cooperation ",Xi Jinping,"Chinese, Turkish presidents vow to promote bilateral cooperation, Xi urges joint efforts to open up new prospects for Asian security, development , Xi urges joint efforts to open up new prospects for Asian security, development , Xi met with Emomali Rahmon in Dushanbe, receives the Order of the Crown, Tajikistan's highest decoration, Xi addressed fifth summit of the Conference on Interaction and Confidence Building Measures in Asia (CICA) held in Tajikistan, Xi's Central Asia trip cements neighborhood friendship, regional cooperation ","Xi Jinping, Recep Erdogan, Xi Jinping, Xi Jinping, Xi Jinping, Emomali Rahmon, Xi Jinping, Xi Jinping",15.6.2019 - 16.6.2019,16.6.2019,16.6.2019,TRUE,16.6.2019,"June 16, 2019",Tajikistan,Dushanbe,,http://www.xinhuanet.com/english/2019-06/16/c_138148183.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29682
"Xi's SCO summit speech significant for global peace, cooperation ",Xi Jinping,"Xi's SCO summit speech significant for global peace, cooperation ",Xi Jinping,"Xi's SCO summit speech significant for global peace, cooperation ",Xi Jinping,"Xi Jinping met with Kyrgyz President Sooronbay Jeenbekov in Bishkek., Xi Jinping met with Afghan President Mohammad Ashraf Ghani in Bishkek, Kyrgyzstan, Xi Jinping met with Indian Prime Minister Narendra Modi in Bishkek, Kyrgyzstan, Chinese president calls for closer SCO community with shared future, Xi's SCO summit speech significant for global peace, cooperation ","Xi Jinping, Sooronbay Jeenbekov, Xi Jinping, Mohammad Ashraf Ghani, Xi Jinping, Narendra Modi, Xi Jinping, Xi Jinping",12.6.2019 - 14.6.2019,14.6.2019,14.6.2019,TRUE,14.6.2019,"June 14, 2019",Kyrgyzstan,Bishkek,,http://www.xinhuanet.com/english/2019-06/16/c_138148104.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29681
"Xi and Vladimir Putin attend a bilateral energy business forum in St. Petersburg, vow to further energy cooperation","Xi Jinping, Vladimir Putin","Xi and Vladimir Putin attend a bilateral energy business forum in St. Petersburg, vow to further energy cooperation","Xi Jinping, Vladimir Putin","Xi and Vladimir Putin attend a bilateral energy business forum in St. Petersburg, vow to further energy cooperation","Xi Jinping, Vladimir Putin","Xi met with Vladimir Putin in Moscow, agree to strengthen contemporary global strategic stability, Xi Jinping arrives in Moscow for a state visit to Russia, Xi met with with Russian Prime Minister Dmitry Medvedev says stronger China-Russia partnership key to global peace and stability., Xi at SPIEF calls for joint efforts in forging ahead sustainable development and the building of a community with a shared future for mankind., Xi and Vladimir Putin attend a bilateral energy business forum in St. Petersburg, vow to further energy cooperation","Xi Jinping, Vladimir Putin, Xi Jinping, Xi Jinping, Dmitry Medvedev, Xi Jinping, Xi Jinping, Vladimir Putin",5.6.2019 - 7.6.2019,7.6.2019,7.6.2019,TRUE,7.6.2019,"June 07, 2019",Russia,St. Petersburg,,http://www.xinhuanet.com/english/2019-06/08/c_138125165.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29661
Xi outlines 4-pronged proposal on global governance,"Xi Jinping, Emmanuel Macron, Angela Merkel, Jean-Claude Juncker",Xi outlines 4-pronged proposal on global governance,"Xi Jinping, Emmanuel Macron, Angela Merkel, Jean-Claude Juncker",Xi outlines 4-pronged proposal on global governance,"Xi Jinping, Emmanuel Macron, Angela Merkel, Jean-Claude Juncker","Xi, Macron agree to forge more solid, stable, vibrant China-France partnership , Xi Jinping Meets with Chancellor Angela Merkel of Germany, Xi Jinping Meets with Prime Minister Edouard Philippe of France, Xi Jinping and Peng Liyuan Attend the Grand Farewell Ceremony Held by President Emmanuel Macron of France, Xi Jinping Meets with President of the French National Assembly Richard Ferrand, Xi ends state visit to France, China, France pledge to jointly safeguard multilateralism, improve global governance , Xi outlines 4-pronged proposal on global governance","Xi Jinping, Emmanuel Macron, Xi Jinping, Angela Merkel, Xi Jinping, Edouard Philippe, Xi Jinping, Emmanuel Macron, Xi Jinping, Richard Ferrand, Xi Jinping, Emmanuel Macron, Xi Jinping, Xi Jinping, Emmanuel Macron, Angela Merkel, Jean-Claude Juncker",25.3.2019 - 26.3.2019,26.3.2019,26.3.2019,TRUE,26.3.2019,"March 26, 2019",France,Paris,,http://www.xinhuanet.com/english/2019-03/27/c_137925702.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29483
Chinese president arrives in Italy for state visit,Xi Jinping,Chinese president arrives in Italy for state visit,Xi Jinping,Chinese president arrives in Italy for state visit,Xi Jinping,Chinese president arrives in Italy for state visit,Xi Jinping,21.3.2019,21.3.2019,21.3.2019,TRUE,21.3.2019,"March 21, 2019",Italy,Rome,,http://www.xinhuanet.com/english/2019-03/22/c_137913866.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29468
"China, Portugal pledge to jointly push forward construction of Belt and Road ","Xi Jinping, Antonio Costa","China, Portugal pledge to jointly push forward construction of Belt and Road ","Xi Jinping, Antonio Costa","China, Portugal pledge to jointly push forward construction of Belt and Road ","Xi Jinping, Antonio Costa","Portuguese president calls ties with China ""exceptional"" , China, Portugal agree to seek more cooperation progress , Chinese president arrives in Portugal for state visit, Xi meets president of Portuguese parliament, pledging legislative cooperation, China, Portugal pledge to jointly push forward construction of Belt and Road ","Xi Jinping, Marcelo Rebelo de Sousa, Xi Jinping, Marcelo Rebelo de Sousa, Xi Jinping, Xi Jinping, Eduardo Ferro Rodrigues, Xi Jinping, Antonio Costa",3.12.2018 - 5.12.2018,5.12.2018,5.12.2018,TRUE,5.12.2018,"December 05, 2018",Portugal,Lisbon,,http://www.xinhuanet.com/english/2018-12/06/c_137653556.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29152
"China, Panama agree to further promote ties","Xi Jinping, Juan Carlos Varela","China, Panama agree to further promote ties","Xi Jinping, Juan Carlos Varela","China, Panama agree to further promote ties","Xi Jinping, Juan Carlos Varela","China, Panama agree to further promote ties","Xi Jinping, Juan Carlos Varela",3.12.2018,3.12.2018,3.12.2018,TRUE,3.12.2018,"December 03, 2018",Panama,Panama City,,http://www.xinhuanet.com/english/2018-12/04/c_137648721.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29142
"Xi, Trump hold ""very successful"" meeting on ties, trade ","Xi Jinping, Donald Trump","Xi, Trump hold ""very successful"" meeting on ties, trade ","Xi Jinping, Donald Trump","Xi, Trump hold ""very successful"" meeting on ties, trade ","Xi Jinping, Donald Trump","Xi Jinping's upcoming state visit here has evoked high expectations, Chinese president arrives in Argentina for state visit, G20 summit, China, Japan to accelerate negotiations for regional free trade deals, China, India agree to bring ties to higher level , Xi calls on China, Turkey to share development opportunities, BRICS leaders declare common stand on WTO reform, Xi urges G20 to steer world economy responsibly, Xi, Trump agree to ease trade tensions, maintain close contacts , Xi urges G20 to ""steer world economy in right direction"" , Xi, Trump hold ""very successful"" meeting on ties, trade ","Xi Jinping, Xi Jinping, Xi Jinping, Shinzo Abe, Xi Jinping, Narendra Modi, Xi Jinping, Xi Jinping, Cyril Ramaphosa, Michel Temer, Vladimir Putin, Narendra Modi, Xi Jinping, Xi Jinping, Donald Trump, Xi Jinping, Xi Jinping, Donald Trump",29.11.2018 - 1.12.2018,1.12.2018,1.12.2018,TRUE,1.12.2018,"December 01, 2018",Argentina,Buenos Aires,,http://www.xinhuanet.com/english/2018-12/02/c_137646247.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29136
"China, Spain agree to advance ties during Xi's visit ","Xi Jinping, Pedro Sanchez","China, Spain agree to advance ties during Xi's visit ","Xi Jinping, Pedro Sanchez","China, Spain agree to advance ties during Xi's visit ","Xi Jinping, Pedro Sanchez","Chinese president arrives in Spain for state visit, China-Spain relations facing new opportunities for development, Xi urges Spanish enterprises to make best use of CIIE platform, China-Spain relations facing new opportunities for development, Xi urges Spanish enterprises to make best use of CIIE platform, China, Spain agree to advance ties during Xi's visit ","Xi Jinping, Liyuan Peng, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Pedro Sanchez, Xi Jinping, Pedro Sanchez",27.11.2018 - 28.11.2018,28.11.2018,28.11.2018,TRUE,28.11.2018,"November 28, 2018",Spain,Madrid,,http://www.xinhuanet.com/english/2018-11/29/c_137638125.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29114
"Xi arrives in PNG for state visit, APEC meeting",Xi Jinping,"Xi arrives in PNG for state visit, APEC meeting",Xi Jinping,"Xi arrives in PNG for state visit, APEC meeting",Xi Jinping,"Xi arrives in PNG for state visit, APEC meeting",Xi Jinping,15.11.2018,15.11.2018,15.11.2018,TRUE,15.11.2018,"November 15, 2018",Papua New Guinea,Port Moresby,,http://www.xinhuanet.com/english/2018-11/15/c_137609205.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=29077
"Xi, Putin call for promoting China-Russia youth friendship ","Xi Jinping, Vladimir Putin","Xi, Putin call for promoting China-Russia youth friendship ","Xi Jinping, Vladimir Putin","Xi, Putin call for promoting China-Russia youth friendship ","Xi Jinping, Vladimir Putin","China, Russia agree to advance sub-national cooperation, Xi, Putin vow to promote ties regardless of global changes, Xi meets Mongolian president on bilateral ties, Xi calls for strengthening cooperation in Northeast Asia for regional peace, prosperity, Xi's Vladivostok trip injects fresh vigor into China-Russia ties, regional cooperation , Xi calls for strengthening cooperation in Northeast Asia for regional peace, prosperity , Xi, Putin call for promoting China-Russia youth friendship ","Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Xi Jinping, Khaltmaa Battulga, Xi Jinping, Xi Jinping, Vladimir Putin, Khaltmaa Battulga, Shinzo Abe,  Lee Nak-yon, Xi Jinping, Xi Jinping, Vladimir Putin",11.9.2018 - 13.9.2018,13.9.2018,13.9.2018,TRUE,13.9.2018,"September 13, 2018",Russia,Vladivostok,,http://www.xinhuanet.com/english/2018-09/13/c_137463871.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28839
Xi meets Mauritian PM on bilateral ties,"Xi Jinping, Pravind Jugnauth",Xi meets Mauritian PM on bilateral ties,"Xi Jinping, Pravind Jugnauth",Xi meets Mauritian PM on bilateral ties,"Xi Jinping, Pravind Jugnauth","Xi arrives in Mauritius for friendly visit, Xi meets Mauritian PM on bilateral ties","Xi Jinping, Xi Jinping, Pravind Jugnauth",27.7.2018 - 28.7.2018,28.7.2018,28.7.2018,TRUE,28.7.2018,"July 28, 2018",Mauritius,Port Louis,,http://www.xinhuanet.com/english/2018-07/29/c_137354426.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28626
