date,link,location,title,President
"October 15, 2019, 13:30",http://en.kremlin.ru/events/president/trips/61824,United Arab Emirates,Russian-UAE talks,Putin
"October 14, 2019, 16:30",http://en.kremlin.ru/events/president/trips/61823,Saudi Arabia,State visit to Saudi Arabia,Putin
"October 11, 2019, 09:30",http://en.kremlin.ru/events/president/trips/61796,Turkmenistan,Meeting with President of Turkmenistan Gurbanguly Berdimuhamedov,Putin
"September 16, 2019, 13:50",http://en.kremlin.ru/events/president/trips/61544,Turkey,Vladimir Putin arrived in Turkey,Putin
"September 2, 2019, 19:00",http://en.kremlin.ru/events/president/trips/61494,Mongolia,Vladimir Putin arrived in Ulaanbaatar,Putin
"August 21, 2019, 16:30",http://en.kremlin.ru/events/president/trips/61498,Finland,Vladimir Putin arrived in Finland,Putin
"August 19, 2019, 17:00",http://en.kremlin.ru/events/president/trips/61338,France,Vladimir Putin arrived in France,Putin
"July 4, 2019, 14:00",http://en.kremlin.ru/events/president/trips/60927,Italy,Vladimir Putin arrived in Italy,Putin
"June 30, 2019, 16:40",http://en.kremlin.ru/events/president/trips/60868,Belarus,Meeting with IOC President Thomas Bach,Putin
"June 28, 2019, 02:55",http://en.kremlin.ru/events/president/trips/60867,Japan,Vladimir Putin arrived in Japan to attend the G20 summit,Putin
"June 14, 2019, 18:30",http://en.kremlin.ru/events/president/trips/60761,Tajikistan,Vladimir Putin arrived in Dushanbe,Putin
"June 13, 2019, 14:50",http://en.kremlin.ru/events/president/trips/60760,Kyrgyzstan,Vladimir Putin arrived in Bishkek,Putin
"May 28, 2019, 17:45",http://en.kremlin.ru/events/president/trips/60604,Kazakhstan,Vladimir Putin arrived in Kazakhstan,Putin
"April 25, 2019, 15:50",http://en.kremlin.ru/events/president/trips/60403,People's Republic of China,Vladimir Putin arrived in China,Putin
"March 28, 2019, 11:40",http://en.kremlin.ru/events/president/trips/60166,Kyrgyzstan,State visit to Kyrgyzstan,Putin
"January 17, 2019, 15:20",http://en.kremlin.ru/events/president/trips/59698,Serbia,Vladimir Putin arrived in Serbia,Putin
"November 30, 2018, 16:45",http://en.kremlin.ru/events/president/trips/59298,Argentina,BRICS leadersí meeting,Putin
"November 19, 2018, 15:45",http://en.kremlin.ru/events/president/trips/59257,Turkey,Ceremony marking the completion of TurkStream gas pipelineís offshore section,Putin
"November 13, 2018, 11:00",http://en.kremlin.ru/events/president/trips/59147,Singapore,Vladimir Putin arrived in Singapore,Putin
"November 11, 2018, 12:10",http://en.kremlin.ru/events/president/trips/59092,France,Vladimir Putin arrived in France,Putin
"November 8, 2018, 14:00",http://en.kremlin.ru/events/president/trips/59079,Kazakhstan,Vladimir Putin arrived in Astana,Putin
"October 27, 2018, 13:40",http://en.kremlin.ru/events/president/trips/59007,Turkey,Telephone conversation with President of France Emmanuel Macron,Putin
"October 19, 2018, 09:15",http://en.kremlin.ru/events/president/trips/58865,Uzbekistan,Beginning of talks with President of Uzbekistan Shavkat Mirziyoyev,Putin
"October 12, 2018, 12:45",http://en.kremlin.ru/events/president/trips/58811,Belarus,Meeting with President of Belarus Alexander Lukashenko,Putin
"October 4, 2018, 16:40",http://en.kremlin.ru/events/president/trips/58747,India,Vladimir Putin arrived in New Delhi,Putin
"September 27, 2018, 18:20",http://en.kremlin.ru/events/president/trips/58652,Tajikistan,Vladimir Putin arrived in Dushanbe,Putin
"September 27, 2018, 10:45",http://en.kremlin.ru/events/president/trips/58651,Azerbaijan,Vladimir Putin arrived in Azerbaijan,Putin
"September 7, 2018, 13:30",http://en.kremlin.ru/events/president/trips/58493,Iran,Meeting with President of Turkey Recep Tayyip Erdogan,Putin
"August 12, 2018, 11:40",http://en.kremlin.ru/events/president/trips/58300,Kazakhstan,Vladimir Putin arrived in Kazakhstan,Putin
"July 26, 2018, 10:30",http://en.kremlin.ru/events/president/trips/58120,South Africa,Vladimir Putin arrived in South Africa to attend the 10th BRICS Summit,Putin
"July 16, 2018, 18:30",http://en.kremlin.ru/events/president/trips/58021,Finland,Russia-US summit,Putin
"June 19, 2018, 14:50",http://en.kremlin.ru/events/president/trips/57821,Belarus,Vladimir Putin arrived in Belarus,Putin
"June 8, 2018, 10:00",http://en.kremlin.ru/events/president/trips/57722,People's Republic of China,Vladimir Putin arrived in China,Putin
"June 5, 2018, 14:45",http://en.kremlin.ru/events/president/trips/57687,Austria,Vladimir Putin arrived in Austria,Putin
"April 3, 2018, 16:00",http://en.kremlin.ru/events/president/trips/57203,Turkey,Vladimir Putin arrived in Ankara,Putin
"December 11, 2017, 21:30",http://en.kremlin.ru/events/president/trips/56364,Turkey,Russian-Turkish talks,Putin
