Country,Locale,Remarks,Date,
Mexico,San Cristobal,Meeting with President Fox.,"February 16, 2001",W. BUSH
Canada,Quebec,Attended the Summit of the Americas.,"April 20–22, 2001",W. BUSH
Spain,Madrid,Met with King Juan Carlos I and President Aznar.,"June 12–13, 2001",W. BUSH
Belgium,Brussels,Attended NATO Summit Meeting.,"June 13–14, 2001",W. BUSH
Sweden,Goteborg,Attended U.S.-European Union Summit Meeting; met with King Carl XVI Gustav.,"June 14–15, 2001",W. BUSH
Poland,Warsaw,State visit.,"June 15–16, 2001",W. BUSH
Slovenia,Kranj,Met with Prime Minister Drnovsek and Russian President Putin.,"June 16, 2001",W. BUSH
United Kingdom,"London, Chequers, Halton, Brize Norton",Met with Prime Minister Blain and Queen Elizabeth II.,"July 18–20, 2001",W. BUSH
Italy,"Genoa, Castel Gandolfo, Rome","Attended the G-8 Economic Summit. Met with Pope John Paul II at Castel 
Gandolfo and with Prime Minister Berlusconi and President Ciampi in Rome.","July 20–24, 2001",W. BUSH
Yugoslavia (Kosovo),Camp Bondsteel,Addressed U.S. military personnel.,"July 24, 2001",W. BUSH
China,Shanghai,Attended the APEC Summit Meeting.,"October 18–21, 2001",W. BUSH
Japan,Tokyo,Met with Prime Minister Koizumi and Emperor Akihito. Addressed the Diet.,"February 17–19, 2002",W. BUSH
"Korea, Republic of","Seoul, Dorasan, Osan","Met with President Kin Dae-Jung, visited the Demilitarized Zone, addressed 
U.S. military personnel.","February 19–21, 2002",W. BUSH
China,Beijing,Met with President Jiang and Premier Zhu.,"February 21–22, 2002",W. BUSH
Mexico,Monterrey,"Attended the International Conference on Financing for Development and met 
with President Fox.","March 21–22, 2002",W. BUSH
Peru,Lima,"Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice 
President of Ecuador.","March 23–24, 2002",W. BUSH
El Salvador,San Salvador,Attended a summit meeting with Central American heads of state.,"March 24, 2002",W. BUSH
Germany,Berlin,Met with Chancellor Schroeder and addressed the Bundestag.,"May 22–23, 2002",W. BUSH
Russia,"Moscow, St. Petersburg",Summit meeting with President Putin. Signed strategic arms reduction treaty.,"May 23–26, 2002",W. BUSH
France,"Paris, St. Mere- Eglise, Colleville",Met with President Chirac and delivered a Memorial Day address in Normandy.,"May 26–27, 2002",W. BUSH
Italy,Rome,"Met with President Ciampi and Prime Minister Berlusconi. Attended NATO 
Summit Meeting and inaugurated the NATO-Russia Council.","May 27–28, 2002",W. BUSH
Vatican City,,Audience with Pope John Paul II.,"May 28, 2002",W. BUSH
Canada,Kananaskis (Alberta),Attended the G-8 Economic Summit.,"June 25–27, 2002",W. BUSH
Mexico,Los Cabos,Attended APEC Summit Meeting.,"October 26–27, 2002",W. BUSH
Czech Republic,Prague,Attended NATO and EAPC Summit Meetings.,"November 19–22, 2002",W. BUSH
Russia,St. Petersburg,Met with President Putin.,"November 22, 2002",W. BUSH
Lithuania,Vilnius,Met with the Presidents of the Baltic States.,"November 22–23, 2002",W. BUSH
Romania,Bucharest,Met with President Iliescu.,"November 23, 2002",W. BUSH
Portugal,Terceira Island (Azores),"Discussed the Iraq crisis with British Prime Minister Blair, Spanish 
President Aznar, and Portuguese Prime Minister Durao.","March 16, 2003",W. BUSH
United Kingdom,"Belfast, Hillsborough (Northern Ireland)","Met with Prime Minister Blair to discuss the reconstruction of Iraq. Also 
met with Irish Prime Minister Ahern and Northern Irish political leaders.","April 7–8, 2003",W. BUSH
Poland,"Krakow, Auschwitz-Birkenau","Met with President Kwasniewski and Prime Minister Miller; visited former 
Nazi concentration camps.","May 30–31, 2003",W. BUSH
Russia,St. Petersburg,"Met with President Putin and attended ceremonies commemorating the city’s 
300th anniversary.","May 31–June 1, 2003",W. BUSH
France,Evian-les-Bains,Attended the G-8 Economic Summit and met with Chinese President Hu Jintao.,"June 1–2, 2003",W. BUSH
Egypt,Sharm el-Sheikh,"Attended “Red Sea Summit” with the leaders of Bahrain, Egypt, Jordan, and 
Saudi Arabia, and with Palestinian Prime Minister Abbas.","June 2–3, 2003",W. BUSH
Jordan,Aqaba,"Attended meetings with Israeli Prime Minister Sharon and Palestinian Prime 
Minister Abbas. Met with King Abdullah II.","June 4, 2003",W. BUSH
Qatar,Doha,"Met with Emir Hamad Thani, visited U.S. Central Command headquarters and 
addressed U.S. military personnel. Overflew Baghdad en route to Qatar.","June 4–5, 2003",W. BUSH
Senegal,"Dakar, Goree Island",Met with President Wade.,"July 8, 2003",W. BUSH
South Africa,Pretoria,Met with President Mbeki.,"July 8–10, 2003",W. BUSH
Botswana,Gaborone,Met with President Mogae. Toured Mokoldi Nature Reserve.,"July 10, 2003",W. BUSH
Uganda,Kampala,Met with President Musaveni.,"July 11, 2003",W. BUSH
Nigeria,Abuja,Met with President Obasanjo.,"July 11–12, 2003",W. BUSH
Japan,Tokyo,Met with Prime Minister Koizumi.,"October 17–18, 2003",W. BUSH
Philippines,Manila,"Addressed a joint session of the Philippine Congress and met with President 
Arroyo-Macapagal.","October 18–19, 2003",W. BUSH
Thailand,Bangkok,Attended the APEC Summit Meeting.,"October 18–21, 2003",W. BUSH
Singapore,Singapore,Met with Prime Minister Goh Chok Tong.,"October 21–22, 2003",W. BUSH
Indonesia,Denpasar (Bali),Met with President Sukarnoputri and Muslim religious leaders.,"October 22, 2003",W. BUSH
Australia,Canberra,Met with Prime Minister Howard and addressed Parliament.,"October 22, 2003",W. BUSH
United Kingdom,"London, Sedgefield",State Visit.,"November 18–21, 2003",W. BUSH
Iraq,Baghdad,"Met with members of the Coalition Provisional Authority and the Iraqi 
Governing Council and addressed U.S. military personnel.","November 27, 2003",W. BUSH
Mexico,Monterrey,Attended the Special Summit of the Americas.,"January 12–13, 2004",W. BUSH
Italy,Rome,Met with President Ciampi and Prime Minister Berlusconi.,"June 4–5, 2004",W. BUSH
Vatican City,,Met with Pope John Paul II.,"June 4, 2004",W. BUSH
France,"Paris, Colleville, Caen, Arromanches",Met with President Chirac and commemorated the 60th anniversary of D-Day.,"June 5–6, 2004",W. BUSH
Ireland,"Shannon, Dromoland Castle",Attended U.S.-EU Summit meeting and met with Prime Minister Ahern.,"June 25–26, 2004",W. BUSH
Turkey,"Ankara, Istanbul","Met with President Sezer and Prime Minister Erdogan and attended NATO 
Summit meeting in Istanbul.","June 26–29, 2004",W. BUSH
Chile,Santiago,Attended APEC Summit Meeting.,"November 19–22, 2004",W. BUSH
Colombia,Cartagena,Met with President Uribe.,"November 22, 2004",W. BUSH
Canada,"Ottawa, Gatineau, Halifax",Met with Prime Minister Martin.,"November 30–December 1, 2004",W. BUSH
Belgium,Brussels,Attended NATO and EU Summit Meetings.,"February 20–23, 2005",W. BUSH
Germany,"Mainz, Wiesbaden",Met with Chancellor Schroeder and visited U.S. military personnel.,"February 23, 2005",W. BUSH
Slovakia,Bratislava,Met with President Dzurinda and Russian President Putin.,"February 23–24, 2005",W. BUSH
Vatican City,,Attended the funeral of Pope John Paul II.,"April 6–8, 2005",W. BUSH
Italy,Rome,Met with President Ciampi and Prime Minister Berlusconi.,"April 6–8, 2005",W. BUSH
Latvia,Riga,Met with the presidents of the Baltic States.,"May 6–7, 2005",W. BUSH
Netherlands,"Maastricht, Valkenburg, Margraten","Met with Prime Minister Balkenende and gave an address at a U.S. military 
cemetery.","May 7–8, 2005",W. BUSH
Russia,Moscow,Met with President Putin and attended ceremonies commemorating VE Day.,"May 8–9, 2005",W. BUSH
Georgia,Tbilisi,Met with President Saakashvili.,"May 9–10, 2005",W. BUSH
Denmark,"Kastrup, Fredensborg, Copenhagen",Met with Queen Margrethe II and Prime Minister Rasmussen.,"July 5–6, 2005",W. BUSH
United Kingdom,Gleneagles (Scotland),Attended the G-8 Economic Summit.,"July 6–8, 2005",W. BUSH
Argentina,Mar del Plata,Attended the Summit of the Americas.,"November 3–5, 2005",W. BUSH
Brazil,Brasilia,Met with President Lula da Silva.,"November 5–6, 2005",W. BUSH
Panama,Panama City,Met with President Martin Torrijos.,"November 6–7, 2005",W. BUSH
Japan,Kyoto,Met with Prime Minister Koizumi.,"November 15–16, 2005",W. BUSH
"Korea, Republic of","Pusan, Gyeongju, Osan",Attended APEC Summit meeting and met with Russian President Putin.,"November 16–20, 2005",W. BUSH
China,Beijing,Met with President Hu and Prime Minister Wen.,"November 20–21, 2005",W. BUSH
Mongolia,Ulaanbaatar,Met with President Enkhbayar and Prime Minister Elbegdorj.,"November 21, 2005",W. BUSH
Ireland,Shannon,Met with U.S. Marines who were en route to Iraq.,"February 28, 2006",W. BUSH
